key,title,year,venue,peer_reviewed,area,contribution_type,modalities
yin2020tabert,TaBERT: Pretraining for Joint Understanding of Textual and Tabular Data,2020,Proc. ACL,yes,beyond,extraction,"T,B"
alberts2021visualsem,VisualSem: A High-Quality Knowledge Graph for Vision and Language,2021,Proc. Workshop on Multilingual Representation Learning (EMNLP),yes,beyond,dataset,"T,I"
chen2021finqa,FinQA: A Dataset of Numerical Reasoning over Financial Data,2021,Proc. EMNLP,yes,beyond,dataset,"T,B"
jain2021radgraph,RadGraph: Extracting Clinical Entities and Relations from Radiology Reports,2021,Proc. NeurIPS Datasets and Benchmarks Track,yes,beyond,dataset,T
talmor2021mmqa,"MultiModalQA: Complex Question Answering over Text, Tables and Images",2021,Proc. ICLR,yes,beyond,dataset,"T,I,B"
zhu2021tatqa,TAT-QA: A Question Answering Benchmark on a Hybrid of Tabular and Textual Content in Finance,2021,Proc. ACL,yes,beyond,dataset,"T,B"
chandak2023primekg,Building a Knowledge Graph to Enable Precision Medicine,2023,Scientific Data,yes,beyond,dataset,T
wang2023tivakg,"TIVA-KG: A Multimodal Knowledge Graph with Text, Image, Video and Audio",2023,Proc. ACM Multimedia,yes,beyond,dataset,"T,I,A,V"
vatkg2025,VAT-KG: Knowledge-Intensive Multimodal Knowledge Graph Dataset for Retrieval-Augmented Generation,2025,arXiv preprint arXiv:2506.21556,no,beyond,dataset,"T,I,A"
marino2019okvqa,OK-VQA: A Visual Question Answering Benchmark Requiring External Knowledge,2019,Proc. IEEE/CVF CVPR,yes,rag,dataset,"T,I"
ding2022mukea,MuKEA: Multimodal Knowledge Extraction and Accumulation for Knowledge-based Visual Question Answering,2022,Proc. IEEE/CVF CVPR,yes,rag,retrieval,"T,I"
edge2024graphrag,From Local to Global: A Graph RAG Approach to Query-Focused Summarization,2024,arXiv preprint arXiv:2404.16130,no,rag,retrieval,T
guo2024lightrag,LightRAG: Simple and Fast Retrieval-Augmented Generation,2024,arXiv preprint arXiv:2410.05779,no,rag,retrieval,T
gutierrez2024hipporag,HippoRAG: Neurobiologically Inspired Long-Term Memory for Large Language Models,2024,Proc. NeurIPS,yes,rag,retrieval,T
knowgpt2024,KnowGPT: Knowledge Graph Based Prompting for Large Language Models,2024,Proc. NeurIPS,yes,rag,retrieval,T
wan2025mmgraphrag,MMGraphRAG: Bridging Vision and Language with Interpretable Multimodal Knowledge Graphs,2025,arXiv preprint arXiv:2507.20804,no,rag,retrieval,"T,I"
megarag2026,MegaRAG: Multimodal Knowledge Graph-Based Retrieval Augmented Generation,2026,arXiv preprint arXiv:2512.20626,no,rag,retrieval,"T,I"
mg2rag2026,MG\textsuperscript2-RAG: Multi-Granularity Graph for Multimodal Retrieval-Augmented Generation,2026,arXiv preprint arXiv:2604.04969,no,rag,retrieval,"T,I"
structpretrain2023,Structure Pretraining and Prompt Tuning for Knowledge Graph Transfer,2023,Proc. ACM Web Conference (WWW),yes,transfer,transfer,S
fewshotkgc2024,LLM-based Multi-Level Knowledge Generation for Few-shot Knowledge Graph Completion,2024,Proc. IJCAI,yes,transfer,transfer,T
gfm2025,Multi-Domain Graph Foundation Models: Robust Knowledge Transfer via Topology Alignment,2025,Proc. ICML,yes,transfer,transfer,S
mldgg2025,MLDGG: Meta-Learning for Domain Generalization on Graphs,2025,Proc. ACM SIGKDD,yes,transfer,transfer,S
